order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
96,2478,2024-04-03,220,3,475.31,1425.94,Cancelled,
97,3870,2025-07-03,335,5,230.51,1152.54,Cancelled,
98,5195,2023-06-13,111,4,241.63,966.51,Pending,
99,4567,2024-03-17,295,2,440.62,881.24,Pending,
100,4358,2025-08-06,183,5,265.55,1327.77,Pending,
101,4239,2024-03-26,127,4,277.83,1111.30,Completed,2024-03-26
102,4797,2024-02-03,21,4,317.85,1271.40,Pending,
103,5646,2024-02-08,35,5,420.62,2103.11,Completed,2024-02-12
104,2924,2025-05-03,222,5,78.39,391.93,Pending,
105,3614,2023-12-17,343,2,240.12,480.23,Pending,
106,8132,2023-07-09,61,2,188.46,376.92,Completed,2023-07-09
107,2529,2025-03-10,437,2,12.38,24.76,Cancelled,
108,5594,2025-03-17,235,5,432.64,2163.18,Completed,2025-03-21
109,1887,2023-07-05,189,2,79.51,159.02,Completed,2023-07-07
110,6363,2025-03-14,195,1,13.38,13.38,Cancelled,
111,14,2023-08-06,449,3,459.27,1377.80,Cancelled,
112,6673,2023-02-01,335,5,32.63,163.14,Pending,
113,3313,2025-04-21,462,3,45.86,137.57,Pending,
114,6647,2023-11-27,174,2,71.25,142.51,Cancelled,
115,7106,2024-09-08,375,5,140.81,704.07,Cancelled,
116,7272,2025-01-24,444,4,410.02,1640.08,Pending,
117,8165,2024-05-25,411,1,218.83,218.83,Pending,
118,4463,2025-03-17,481,4,58.66,234.65,Completed,2025-03-18
119,4056,2025-03-13,447,4,25.38,101.52,Pending,
120,4552,2024-05-14,376,5,48.88,244.39,Cancelled,
121,5061,2024-03-24,457,3,106.52,319.55,Cancelled,
122,1351,2024-04-14,339,4,126.80,507.19,Cancelled,
123,7155,2024-12-25,96,1,454.21,454.21,Completed,2024-12-28
124,4933,2024-01-19,427,1,372.14,372.14,Completed,2024-01-23
125,7162,2025-02-17,220,1,266.53,266.53,Completed,2025-02-21
126,8184,2024-06-02,158,1,144.29,144.29,Completed,2024-06-04
127,3832,2025-01-21,322,1,132.84,132.84,Cancelled,
128,9902,2023-08-01,258,5,240.36,1201.81,Completed,2023-08-06
129,4231,2023-06-14,352,5,94.29,471.46,Cancelled,
130,2235,2025-05-04,105,2,292.36,584.72,Cancelled,
131,8588,2025-03-15,460,2,70.11,140.22,Cancelled,
132,391,2023-08-05,8,4,352.35,1409.41,Pending,
133,2272,2025-08-28,339,1,151.84,151.84,Completed,2025-09-01
134,4237,2023-03-14,473,3,215.76,647.27,Completed,2023-03-16
135,4357,2024-02-04,57,4,328.45,1313.81,Completed,2024-02-04
136,4862,2024-08-13,162,4,278.55,1114.19,Pending,
137,1385,2023-11-14,457,1,206.92,206.92,Cancelled,
138,6072,2025-08-26,226,4,250.86,1003.44,Cancelled,
139,7375,2025-01-06,385,4,466.78,1867.14,Completed,2025-01-09
140,6306,2023-02-17,206,3,245.52,736.57,Completed,2023-02-21
141,5781,2025-08-08,65,1,255.07,255.07,Cancelled,
142,5604,2023-12-04,436,2,297.20,594.39,Completed,2023-12-06
143,3032,2024-08-09,37,4,188.24,752.96,Completed,2024-08-13
144,8803,2024-07-25,266,4,269.32,1077.27,Cancelled,
145,8213,2025-01-28,250,2,239.33,478.66,Completed,2025-01-30
146,2323,2024-12-17,86,1,221.25,221.25,Cancelled,
147,9077,2023-06-24,186,1,212.94,212.94,Cancelled,
148,9748,2023-08-26,424,5,239.03,1195.16,Cancelled,
149,8622,2025-03-30,222,3,27.00,81.01,Completed,2025-04-02
150,2289,2023-07-27,157,4,431.81,1727.25,Completed,2023-07-31
151,614,2023-09-21,126,2,402.05,804.10,Pending,
152,4050,2023-07-14,29,2,53.59,107.18,Cancelled,
153,9285,2025-07-07,421,2,128.49,256.98,Pending,
154,1295,2023-09-27,56,1,402.48,402.48,Cancelled,
155,352,2023-11-28,206,3,133.28,399.84,Cancelled,
156,5622,2024-12-14,268,4,166.69,666.77,Pending,
157,4744,2023-12-18,183,2,289.06,578.12,Pending,
158,1226,2025-08-16,142,2,211.91,423.83,Completed,2025-08-18
159,5677,2025-08-17,233,5,113.45,567.25,Pending,
160,7424,2024-10-27,491,5,441.05,2205.25,Pending,
161,8220,2023-12-24,234,1,331.80,331.80,Completed,2023-12-27
162,6951,2024-11-03,468,5,221.69,1108.46,Pending,
163,3332,2023-12-30,414,5,358.90,1794.52,Cancelled,
164,8802,2024-06-30,224,3,43.46,130.39,Cancelled,
165,2308,2023-05-06,168,4,452.94,1811.76,Cancelled,
166,9831,2024-03-18,315,5,496.66,2483.31,Cancelled,
167,2113,2024-10-11,136,4,467.79,1871.17,Completed,2024-10-14
168,6897,2025-03-31,361,2,300.04,600.07,Completed,2025-04-05
169,8793,2025-05-06,146,2,221.49,442.98,Completed,2025-05-06
170,7951,2024-05-07,495,5,234.21,1171.06,Completed,2024-05-11
171,9933,2023-05-15,454,1,54.32,54.32,Pending,
172,8102,2024-11-26,417,1,307.29,307.29,Pending,
173,5126,2024-07-06,439,2,419.98,839.95,Pending,
174,7442,2025-03-05,82,1,458.40,458.40,Pending,
175,5986,2023-10-08,327,1,290.34,290.34,Cancelled,
176,5765,2025-04-15,375,4,94.05,376.18,Completed,2025-04-20
177,4435,2024-02-05,214,2,83.75,167.49,Pending,
178,5515,2024-09-08,218,4,116.36,465.45,Pending,
179,3476,2023-10-22,348,3,27.87,83.61,Pending,
180,3091,2023-09-04,375,2,197.80,395.60,Completed,2023-09-09
181,8823,2024-10-20,47,3,17.10,51.31,Pending,
182,8103,2025-02-13,161,3,472.76,1418.27,Cancelled,
183,8636,2025-07-04,430,3,42.12,126.35,Completed,2025-07-05
184,1005,2025-02-10,73,3,269.32,807.95,Pending,
185,5678,2025-02-17,26,4,147.21,588.84,Pending,
186,9835,2023-02-25,109,2,471.41,942.83,Cancelled,
187,9573,2023-01-26,328,5,307.97,1539.85,Completed,2023-01-27
188,4342,2023-03-30,139,1,158.12,158.12,Pending,
189,395,2023-04-09,465,5,15.89,79.46,Completed,2023-04-14
190,9131,2024-12-07,90,2,342.06,684.12,Cancelled,
191,3958,2024-05-01,481,2,380.68,761.36,Completed,2024-05-06
192,3615,2024-03-27,251,4,183.75,735.01,Completed,2024-03-30
193,1063,2025-08-27,225,2,227.47,454.94,Completed,2025-08-28
194,5531,2023-10-23,165,3,283.13,849.40,Pending,
195,7671,2024-02-21,481,1,98.06,98.06,Completed,2024-02-24
196,1733,2025-02-01,174,2,294.25,588.50,Cancelled,
197,2090,2023-02-22,311,3,97.82,293.47,Cancelled,
198,2275,2023-04-11,493,1,179.42,179.42,Cancelled,
199,3403,2024-10-13,453,3,416.95,1250.84,Pending,
200,4089,2024-09-25,292,1,223.97,223.97,Completed,2024-09-30
201,8841,2024-05-31,498,5,325.58,1627.88,Completed,2024-06-01
202,4719,2024-12-22,416,4,241.85,967.38,Pending,
203,9257,2025-06-04,36,2,305.48,610.96,Cancelled,
204,712,2024-09-06,114,4,460.29,1841.16,Cancelled,
205,1797,2024-08-03,76,4,179.85,719.41,Pending,
206,5942,2025-08-29,162,4,337.30,1349.20,Pending,
207,4716,2023-04-02,411,2,51.30,102.59,Cancelled,
208,6905,2025-05-03,482,2,491.68,983.36,Pending,
209,6416,2023-01-04,439,3,303.04,909.12,Pending,
210,4524,2025-06-16,428,3,102.90,308.70,Completed,2025-06-17
211,6428,2025-02-05,137,3,132.98,398.94,Pending,
212,9232,2023-05-31,414,4,298.24,1192.95,Completed,2023-06-01
213,123,2023-06-19,324,1,237.06,237.06,Pending,
214,7233,2024-04-17,204,5,127.10,635.49,Pending,
215,8334,2025-08-01,25,5,452.21,2261.03,Completed,2025-08-05
216,5237,2025-07-26,343,4,62.15,248.59,Cancelled,
217,3577,2023-02-10,97,5,377.80,1888.99,Pending,
218,234,2024-11-12,23,5,31.26,156.30,Pending,
219,6931,2025-05-31,109,2,177.63,355.26,Cancelled,
220,6949,2023-10-18,331,4,466.60,1866.38,Completed,2023-10-21
221,6057,2024-07-20,283,4,69.09,276.37,Pending,
222,5064,2023-10-24,494,4,330.57,1322.28,Pending,
223,4493,2023-07-08,412,4,322.48,1289.94,Pending,
224,4703,2024-02-28,420,4,183.32,733.27,Cancelled,
225,8657,2024-02-25,146,1,173.75,173.75,Cancelled,
226,3289,2023-07-28,171,1,238.11,238.11,Completed,2023-07-30
227,1114,2025-05-13,419,5,189.56,947.80,Cancelled,
228,8188,2024-12-21,203,5,340.56,1702.82,Completed,2024-12-25
229,5914,2023-01-13,,5,210.11,1050.55,Completed,2023-01-13
230,3747,2023-06-07,362,2,229.37,458.75,Completed,2023-06-08
231,9329,2023-09-20,432,4,371.01,1484.06,Cancelled,
232,2289,2025-06-27,46,1,286.34,286.34,Pending,
233,2096,2023-12-28,167,1,368.85,368.85,Completed,2023-12-31
234,9632,2024-04-09,325,3,421.20,1263.59,Pending,
235,2138,2023-10-07,118,4,204.28,817.14,Pending,
236,1149,2023-08-08,146,2,468.50,937.00,Completed,2023-08-08
237,3030,2023-08-14,317,4,32.66,130.63,Pending,
238,7974,2023-05-05,80,2,299.27,598.53,Pending,
239,265,2023-11-15,318,2,187.23,374.47,Pending,
240,3117,2024-01-14,311,2,91.44,182.87,Cancelled,
241,540,2024-07-24,45,3,288.21,864.62,Pending,
242,4265,2024-10-23,14,4,404.58,1618.31,Cancelled,
243,9694,2025-08-01,415,3,107.09,321.26,Pending,
244,8942,2024-11-03,240,5,467.58,2337.89,Cancelled,
245,4818,2024-09-30,385,4,207.41,829.63,Cancelled,
246,394,2023-11-07,26,4,257.83,1031.33,Completed,2023-11-10
247,7061,2024-07-29,201,4,307.71,1230.83,Cancelled,
248,3637,2024-10-10,221,1,343.20,343.20,Cancelled,
249,5068,2025-06-18,108,5,210.15,1050.76,Pending,
250,5833,2024-08-16,464,1,269.39,269.39,Completed,2024-08-17
251,5476,2025-03-22,404,4,90.93,363.73,Completed,2025-03-23
252,6177,2023-08-04,195,5,377.88,1889.41,Pending,
253,2339,2024-05-14,168,4,369.86,1479.44,Pending,
254,4015,2025-08-01,324,3,361.74,1085.22,Completed,2025-08-05
255,9925,2025-01-15,365,2,242.05,484.11,Pending,
256,4432,2024-11-27,240,2,104.29,208.59,Cancelled,
257,3948,2024-03-02,130,3,438.87,1316.60,Completed,2024-03-05
258,1727,2024-09-05,24,3,59.06,177.19,Completed,2024-09-10
259,6330,2025-06-09,45,5,33.62,168.08,Completed,2025-06-13
260,6486,2025-02-14,87,5,408.74,2043.70,Completed,2025-02-19
261,8519,2023-06-23,357,5,478.31,2391.54,Cancelled,
262,4454,2025-06-29,498,3,305.99,917.98,Completed,2025-06-29
263,4028,2024-03-13,349,5,186.51,932.56,Cancelled,
264,5309,2023-10-07,214,1,122.48,122.48,Completed,2023-10-07
265,9199,2023-08-29,500,5,121.65,608.25,Cancelled,
266,1663,2024-02-09,279,2,276.78,553.57,Pending,
267,9492,2024-08-22,380,2,141.25,282.50,Completed,2024-08-22
268,2216,2024-09-08,331,2,252.04,504.08,Completed,2024-09-09
269,9993,2025-06-16,283,1,54.62,54.62,Cancelled,
270,2585,2023-04-09,82,1,47.62,47.62,Pending,
271,8212,2024-10-04,392,3,98.39,295.16,Pending,
272,2512,2023-08-10,124,5,58.71,293.55,Pending,
273,1200,2024-10-14,476,2,128.76,257.52,Completed,2024-10-19
274,3553,2024-08-30,348,1,152.63,152.63,Pending,
275,9066,2023-07-07,91,1,92.30,92.30,Pending,
276,4005,2024-05-10,63,5,301.45,1507.27,Completed,2024-05-11
277,573,2024-09-10,427,1,99.64,99.64,Completed,2024-09-10
278,4013,2024-02-13,51,4,248.12,992.48,Completed,2024-02-17
279,226,2024-08-18,4,1,348.23,348.23,Cancelled,
280,1298,2025-05-13,488,4,194.35,777.39,Completed,2025-05-14
281,2854,2023-09-02,481,3,426.47,1279.41,Cancelled,
282,4214,2023-04-27,112,5,455.74,2278.69,Completed,2023-04-29
283,1192,2024-03-21,161,3,362.20,1086.61,Completed,2024-03-25
284,1889,2025-07-08,59,4,488.42,1953.68,Pending,
285,9052,2024-06-29,232,1,75.35,75.35,Pending,
286,3054,2023-02-17,464,1,423.45,423.45,Pending,
287,3890,2025-08-13,337,5,14.74,73.69,Cancelled,
288,3312,2025-05-07,145,5,324.34,1621.71,Pending,
289,3358,2023-01-13,86,1,196.42,196.42,Cancelled,
290,410,2023-07-02,192,5,436.51,2182.56,Pending,
291,4347,2024-11-30,358,1,277.73,277.73,Pending,
292,5740,2023-06-01,96,4,198.35,793.39,Completed,2023-06-06
293,704,2023-04-12,453,2,53.25,106.49,Pending,
294,7155,2023-06-19,240,5,179.70,898.49,Completed,2023-06-23
295,3525,2023-04-14,86,4,252.11,1008.45,Pending,
296,1368,2025-04-02,206,4,257.71,1030.85,Pending,
297,7095,2024-07-03,473,4,399.39,1597.54,Cancelled,
298,6741,2023-07-03,378,2,477.01,954.02,Pending,
299,5241,2025-06-14,50,3,102.51,307.54,Completed,2025-06-16
300,2774,2023-06-24,222,4,124.59,498.37,Pending,
301,2804,2024-05-09,21,5,290.95,1454.76,Pending,
302,5538,2023-01-13,107,1,148.63,148.63,Cancelled,
303,5915,2023-10-15,406,2,48.03,96.05,Cancelled,
304,1217,2025-03-25,32,3,23.46,70.38,Completed,2025-03-27
305,44,2024-07-14,271,3,255.88,767.65,Pending,
306,4772,2025-03-11,212,4,228.82,915.30,Pending,
307,8136,2024-05-18,259,3,223.72,671.16,Cancelled,
308,812,2023-08-21,376,1,283.97,283.97,Cancelled,
309,389,2023-10-29,334,4,202.42,809.70,Cancelled,
310,661,2025-01-05,174,5,123.82,619.12,Completed,2025-01-05
311,1380,2024-10-18,255,2,226.51,453.03,Completed,2024-10-22
312,7254,2023-01-27,125,2,278.76,557.53,Cancelled,
313,1931,2023-01-12,434,5,454.81,2274.05,Pending,
314,5915,2025-04-26,56,1,378.19,378.19,Pending,
315,3167,2025-05-20,131,1,219.32,219.32,Pending,
316,6281,2024-09-02,274,1,45.77,45.77,Cancelled,
317,648,2024-02-15,187,1,97.60,97.60,Pending,
318,5158,2024-12-31,33,1,340.46,340.46,Cancelled,
319,4476,2023-04-01,439,4,402.97,1611.87,Cancelled,
320,7552,2025-08-19,26,4,143.04,572.17,Completed,2025-08-22
321,9286,2024-10-07,224,5,282.51,1412.57,Pending,
322,1468,2025-01-25,84,3,416.43,1249.30,Completed,2025-01-30
323,9899,2024-12-02,13,3,321.01,963.04,Cancelled,
324,1315,2024-06-17,482,2,275.78,551.56,Cancelled,
325,1974,2025-02-10,296,1,457.82,457.82,Pending,
326,4496,2025-03-25,421,3,352.36,1057.09,Completed,2025-03-30
327,6589,2024-08-21,238,4,213.89,855.54,Pending,
328,5544,2023-01-30,67,3,286.60,859.81,Cancelled,
329,1580,2024-04-05,248,1,288.44,288.44,Pending,
330,6917,2025-06-09,157,3,46.80,140.40,Completed,2025-06-12
331,658,2023-01-05,67,2,336.09,672.17,Cancelled,
332,4122,2024-04-07,361,3,479.05,1437.16,Completed,2024-04-11
333,2657,2025-06-01,226,4,331.99,1327.95,Completed,2025-06-02
334,2438,2024-08-25,31,5,459.53,2297.65,Cancelled,
335,2992,2024-04-30,273,3,266.83,800.48,Cancelled,
336,3863,2023-06-25,185,5,254.44,1272.18,Completed,2023-06-29
337,9957,2023-12-14,449,2,115.33,230.66,Cancelled,
338,7744,2023-01-31,457,1,90.07,90.07,Completed,2023-02-04
339,3977,2023-07-20,295,5,206.43,1032.17,Completed,2023-07-25
340,9936,2023-10-21,410,5,161.08,805.42,Completed,2023-10-25
341,4686,2024-08-22,137,2,341.89,683.78,Pending,
342,9130,2025-03-26,120,3,364.19,1092.57,Completed,2025-03-31
343,5683,2025-01-20,68,2,305.38,610.75,Cancelled,
344,9059,2024-04-29,214,4,208.58,834.31,Pending,
345,4079,2025-07-05,171,2,416.91,833.83,Completed,2025-07-05
346,6397,2024-02-25,323,2,37.70,75.39,Pending,
347,6949,2023-04-30,100,2,142.38,284.77,Pending,
348,4290,2024-12-07,354,2,55.01,110.03,Completed,2024-12-08
349,4185,2023-08-05,452,3,96.76,290.27,Completed,2023-08-08
350,2808,2025-06-27,410,5,282.74,1413.68,Pending,
351,3558,2023-10-10,100,3,235.09,705.27,Completed,2023-10-12
352,5961,2025-08-23,186,1,372.70,372.70,Cancelled,
353,5022,2023-03-28,105,3,436.92,1310.76,Pending,
354,1270,2023-09-29,54,4,176.37,705.49,Cancelled,
355,4801,2023-06-20,291,3,244.25,732.74,Completed,2023-06-20
356,9081,2025-02-25,273,3,98.02,294.06,Cancelled,
357,4920,2023-03-18,194,2,257.78,515.55,Completed,2023-03-19
358,1823,2024-10-19,63,4,143.82,575.30,Completed,2024-10-23
359,2845,2023-07-02,462,3,333.71,1001.12,Completed,2023-07-06
360,9769,2023-09-17,450,5,495.44,2477.21,Pending,
361,7225,2025-07-18,373,2,168.37,336.74,Cancelled,
362,8656,2024-08-06,452,4,193.58,774.33,Cancelled,
363,1938,2024-04-20,185,2,428.49,856.99,Pending,
364,5179,2023-03-19,415,1,137.93,137.93,Cancelled,
365,8668,2023-07-01,113,3,245.25,735.76,Cancelled,
366,3844,2023-06-25,25,3,479.35,1438.06,Cancelled,
367,4262,2025-01-11,167,2,498.84,997.69,Pending,
368,8244,2025-07-14,47,2,132.99,265.97,Completed,2025-07-15
369,7839,2023-07-30,274,4,470.49,1881.95,Completed,2023-08-04
370,778,2024-03-01,419,1,461.25,461.25,Cancelled,
371,218,2024-02-03,218,4,370.83,1483.31,Cancelled,
372,1872,2024-10-03,372,1,195.03,195.03,Cancelled,
373,6771,2023-04-15,125,4,457.44,1829.74,Cancelled,
374,2410,2024-09-04,410,1,264.25,264.25,Completed,2024-09-09
375,606,2025-05-19,198,3,14.39,43.16,Pending,
376,4363,2023-04-15,225,1,181.50,181.50,Pending,
377,1761,2025-01-14,462,2,166.03,332.05,Pending,
378,3130,2025-02-18,42,4,31.61,126.44,Completed,2025-02-18
379,3068,2024-07-08,467,4,90.88,363.51,Cancelled,
380,6810,2023-05-17,405,5,481.34,2406.71,Cancelled,
381,1849,2025-06-28,474,2,39.44,78.88,Completed,2025-06-28
382,4330,2024-01-16,383,5,278.52,1392.59,Pending,
383,602,2024-09-24,436,4,313.05,1252.22,Completed,2024-09-28
384,7417,2024-10-24,259,3,90.32,270.97,Pending,
385,1106,2023-05-20,147,1,146.35,146.35,Completed,2023-05-22
386,6427,2023-06-23,8,4,119.19,476.76,Completed,2023-06-24
387,8737,2024-08-15,470,4,43.19,172.75,Completed,2024-08-17
388,2780,2025-06-06,266,3,372.54,1117.61,Cancelled,
389,9825,2024-04-26,140,4,487.89,1951.56,Cancelled,
390,7157,2024-05-30,110,4,354.14,1416.56,Cancelled,
391,2793,2024-05-25,304,2,24.07,48.14,Completed,2024-05-28
392,9418,2024-02-04,241,5,324.24,1621.22,Pending,
393,7268,2024-10-02,223,1,239.83,239.83,Cancelled,
394,1634,2023-10-07,21,3,297.45,892.35,Cancelled,
395,8774,2025-04-16,53,3,12.18,36.53,Completed,2025-04-17
396,9336,2025-01-29,29,2,177.09,354.18,Completed,2025-01-29
397,2186,2024-02-24,272,3,386.07,1158.22,Cancelled,
398,6277,2023-08-05,218,1,428.75,428.75,Completed,2023-08-07
399,5035,2023-01-18,347,4,454.53,1818.12,Completed,2023-01-21
400,5352,2023-02-28,433,1,400.63,400.63,Pending,
401,1452,2024-11-10,257,3,73.47,220.41,Pending,
402,2241,2025-07-25,195,3,420.85,1262.54,Completed,2025-07-25
403,8625,2024-08-19,12,2,428.76,857.51,Completed,2024-08-21
404,998,2024-10-10,257,3,491.51,1474.52,Cancelled,
405,3837,2023-06-11,165,4,193.02,772.06,Completed,2023-06-13
406,4001,2023-12-05,241,4,384.25,1537.02,Cancelled,
407,624,2025-08-01,422,4,364.14,1456.56,Completed,2025-08-06
408,5940,2024-05-12,397,3,234.79,704.36,Pending,
409,4129,2023-06-08,287,3,366.44,1099.31,Cancelled,
410,5411,2025-08-18,39,2,93.56,187.12,Completed,2025-08-23
411,9025,2025-05-15,425,3,215.46,646.38,Cancelled,
412,842,2025-05-22,43,4,404.66,1618.65,Pending,
413,2586,2025-07-18,437,4,298.60,1194.42,Cancelled,
414,2870,2023-12-02,319,3,285.68,857.03,Completed,2023-12-03
415,3425,2024-11-25,403,5,204.73,1023.65,Completed,2024-11-29
416,9237,2024-11-11,316,1,79.68,79.68,Pending,
417,8471,2023-03-02,174,3,28.64,85.93,Pending,
418,9180,2023-03-26,135,1,177.82,177.82,Cancelled,
419,2112,2023-11-24,145,2,213.28,426.55,Cancelled,
420,7697,2024-07-10,456,3,118.47,355.42,Cancelled,
421,5583,2025-06-10,36,2,341.10,682.20,Cancelled,
422,7899,2023-10-19,193,2,173.52,347.04,Cancelled,
423,6836,2025-02-04,37,3,74.11,222.34,Completed,2025-02-05
424,357,2023-01-23,139,1,260.45,260.45,Pending,
425,6519,2023-03-20,405,2,110.20,220.40,Completed,2023-03-20
426,8638,2024-04-04,307,4,267.53,1070.13,Pending,
427,2359,2024-09-09,267,2,328.85,657.69,Completed,2024-09-10
428,3581,2024-12-29,355,5,30.12,150.61,Pending,
429,1081,2023-02-19,247,1,404.18,404.18,Completed,2023-02-20
430,3316,2023-10-26,425,2,39.97,79.93,Completed,2023-10-28
431,1423,2025-04-03,271,3,132.40,397.21,Cancelled,
432,7044,2024-09-11,28,2,341.72,683.44,Cancelled,
433,3264,2024-07-07,45,2,240.90,481.80,Cancelled,
434,792,2023-02-02,375,2,345.24,690.47,Pending,
435,9509,2025-08-12,124,4,247.91,991.62,Cancelled,
