product_id,product_name,category,price,cost,stock_quantity,reorder_level
50,Product 50,Clothing,464.89,193.95,85,36
51,Product 51,Sports,139.50,99.70,462,13
52,Product 52,Sports,40.93,37.10,135,39
53,Product 53,Books,125.81,60.62,338,41
54,Product 54,Electronics,53.32,35.19,296,44
55,Product 55,Electronics,25.99,16.89,299,40
56,Product 56,Clothing,236.39,103.06,29,42
57,Product 57,Books,28.05,20.62,34,25
58,Product 58,Books,202.49,83.74,126,47
59,Product 59,Sports,237.89,120.93,336,47
60,Product 60,Home,177.77,115.22,104,30
61,Product 61,Home,85.26,51.54,234,30
62,Product 62,Electronics,448.65,186.16,234,49
63,Product 63,Electronics,498.16,199.70,275,23
64,Product 64,Home,133.23,103.65,451,14
65,Product 65,Clothing,285.39,176.46,224,44
66,Product 66,Books,278.17,142.19,4,45
67,Product 67,Clothing,128.58,63.38,135,17
68,Product 68,Clothing,381.87,178.49,139,28
69,Product 69,Clothing,258.75,122.94,351,50
70,Product 70,Home,309.67,171.32,463,13
71,Product 71,Home,38.94,23.00,22,10
72,Product 72,Home,89.88,70.04,82,38
73,Product 73,Electronics,191.24,112.58,57,14
74,Product 74,Clothing,391.33,189.28,279,12
75,Product 75,Clothing,321.32,167.75,220,18
76,Product 76,Electronics,21.19,13.16,460,32
77,Product 77,Electronics,66.62,45.96,181,45
78,Product 78,Books,296.08,177.41,383,19
79,Product 79,Clothing,265.56,185.52,499,21
80,Product 80,Home,200.70,176.88,400,36
81,Product 81,Clothing,372.87,161.44,136,20
82,Product 82,Electronics,198.38,158.54,439,40
83,Product 83,Sports,108.51,48.37,179,29
84,Product 84,Clothing,382.79,165.00,12,22
85,Product 85,Electronics,123.23,82.70,495,27
86,Product 86,Books,133.22,73.47,169,11
87,Product 87,Clothing,67.59,27.49,297,26
88,Product 88,Home,24.11,12.46,373,30
89,Product 89,Electronics,223.25,90.10,197,46
90,Product 90,Sports,48.89,42.07,0,43
91,Product 91,Clothing,343.86,185.49,186,37
92,Product 92,Home,37.85,18.64,319,30
93,Product 93,Home,171.24,134.36,259,29
94,Product 94,Home,210.22,135.04,283,18
95,Product 95,Sports,86.13,42.41,346,21
96,Product 96,Books,190.20,125.03,426,10
97,Product 97,Books,89.59,64.26,310,30
98,Product 98,Clothing,164.46,95.67,261,40
99,Product 99,Clothing,390.46,159.78,337,15
100,Product 100,Books,122.45,60.34,171,15
101,Product 101,Home,354.14,164.59,115,22
102,Product 102,Sports,39.29,33.73,312,14
103,Product 103,Books,219.56,93.81,99,34
104,Product 104,Electronics,146.18,101.40,457,16
105,Product 105,Books,220.51,156.79,237,13
106,Product 106,Electronics,271.10,113.69,233,18
107,Product 107,Books,328.13,161.28,304,30
108,Product 108,Books,446.72,190.26,417,42
109,Product 109,Sports,209.03,88.21,459,20
110,Product 110,Home,264.70,150.01,384,25
111,Product 111,Books,251.17,168.77,248,50
112,Product 112,Home,88.63,51.65,120,27
113,Product 113,Electronics,165.67,70.49,70,19
114,Product 114,Clothing,103.78,50.10,32,36
115,Product 115,Sports,157.11,84.48,31,23
116,Product 116,Books,275.44,167.41,484,11
117,Product 117,Sports,373.69,172.06,244,10
118,Product 118,Sports,286.66,188.83,436,36
119,Product 119,Books,234.03,109.95,459,24
120,Product 120,Sports,148.51,100.20,14,34
121,Product 121,Sports,144.67,70.55,370,20
122,Product 122,Books,403.22,168.90,273,11
123,Product 123,Electronics,350.73,181.85,42,37
124,Product 124,Electronics,54.94,31.46,133,34
125,Product 125,Home,119.54,68.83,389,34
126,Product 126,Sports,144.10,59.26,129,15
127,Product 127,Electronics,207.79,96.71,487,32
128,Product 128,Electronics,58.28,48.72,386,11
129,Product 129,Electronics,262.27,190.17,318,19
130,Product 130,Electronics,90.82,51.52,288,23
131,Product 131,Home,139.57,95.68,85,48
132,Product 132,Electronics,264.98,123.41,398,20
133,Product 133,Electronics,241.66,193.12,475,29
134,Product 134,Sports,278.10,117.28,203,22
135,Product 135,Clothing,40.96,19.82,52,29
136,Product 136,Electronics,331.46,170.81,407,46
137,Product 137,Sports,249.99,157.61,338,33
138,Product 138,Electronics,37.01,18.45,434,36
139,Product 139,Home,206.32,165.35,325,39
140,Product 140,Books,244.36,142.93,494,27
141,Product 141,Sports,298.68,125.10,238,37
142,Product 142,Home,320.33,166.02,436,25
143,Product 143,Sports,203.95,166.99,124,39
144,Product 144,Home,236.36,116.12,14,41
145,Product 145,Clothing,231.55,170.94,181,26
146,Product 146,Home,166.46,71.37,284,10
147,Product 147,Clothing,144.60,105.74,368,36
148,Product 148,Sports,216.73,100.27,330,41
149,Product 149,Home,103.86,92.39,113,35
150,Product 150,Books,213.86,139.90,188,40
151,Product 151,Books,178.57,112.93,169,32
152,Product 152,Home,210.14,142.06,118,17
153,Product 153,Books,224.56,145.65,486,21
154,Product 154,Home,90.38,42.35,370,47
155,Product 155,Home,358.53,195.44,51,22
156,Product 156,Home,100.76,62.77,7,44
157,Product 157,Electronics,34.54,29.68,283,28
158,Product 158,Sports,180.02,141.00,52,10
159,Product 159,Sports,205.49,116.94,174,21
160,Product 160,Sports,280.92,193.27,58,14
161,Product 161,Electronics,100.07,83.14,77,19
162,Product 162,Electronics,396.31,163.17,127,17
163,Product 163,Books,191.53,113.82,404,49
164,Product 164,Sports,89.76,49.01,465,38
165,Product 165,Sports,121.18,62.98,156,46
166,Product 166,Electronics,246.33,126.10,485,23
167,Product 167,Electronics,186.72,126.98,80,25
168,Product 168,Electronics,46.87,38.89,209,38
169,Product 169,Electronics,245.10,139.43,118,28
170,Product 170,Sports,297.74,142.86,36,24
171,Product 171,Books,407.91,185.16,338,22
172,Product 172,Clothing,163.71,87.90,465,27
173,Product 173,Clothing,199.43,166.19,405,29
174,Product 174,Home,272.80,121.03,224,17
175,Product 175,Sports,147.07,96.40,482,27
176,Product 176,Electronics,183.77,102.59,306,12
177,Product 177,Books,379.78,178.44,128,11
178,Product 178,Books,55.81,22.81,300,11
179,Product 179,Home,408.07,199.92,295,12
180,Product 180,Books,206.91,153.81,333,38
181,Product 181,Books,248.66,183.63,223,50
182,Product 182,Sports,402.35,163.78,178,36
183,Product 183,Clothing,142.66,70.00,168,36
184,Product 184,Sports,210.89,140.27,416,45
185,Product 185,Home,14.87,12.16,165,17
186,Product 186,Books,323.48,194.19,422,10
187,Product 187,Sports,247.78,133.24,27,22
188,Product 188,Sports,209.19,106.10,320,38
189,Product 189,Books,212.18,153.20,67,28
190,Product 190,Electronics,187.88,90.43,14,50
191,Product 191,Clothing,177.55,123.73,159,45
192,Product 192,Clothing,12.81,7.67,430,17
193,Product 193,Clothing,120.10,94.98,255,28
194,Product 194,Sports,154.55,104.23,241,25
195,Product 195,Clothing,122.53,94.07,471,48
196,Product 196,Electronics,242.68,104.11,141,36
197,Product 197,Home,157.01,71.28,420,10
198,Product 198,Books,91.31,60.15,296,41
199,Product 199,Sports,299.71,173.73,176,31
200,Product 200,Sports,209.57,112.62,477,30
201,Product 201,Clothing,431.73,174.57,292,34
202,Product 202,Electronics,110.48,50.54,162,40
203,Product 203,Sports,318.67,142.52,339,19
204,Product 204,Books,117.01,101.59,494,47
205,Product 205,Sports,86.51,69.74,51,43
206,Product 206,Clothing,204.71,182.54,209,19
207,Product 207,Home,42.99,19.59,173,49
208,Product 208,Home,281.52,140.08,436,44
209,Product 209,Sports,122.08,79.10,446,44
210,Product 210,Home,14.35,12.00,116,15
211,Product 211,Electronics,110.94,89.62,227,20
212,Product 212,Electronics,331.85,140.33,166,13
213,Product 213,Clothing,101.07,62.21,125,43
214,Product 214,Clothing,175.35,85.35,87,21
215,Product 215,Books,47.31,20.40,349,25
216,Product 216,Clothing,195.56,102.05,236,50
217,Product 217,Electronics,79.47,54.53,460,39
218,Product 218,Clothing,370.27,180.74,37,38
219,Product 219,Home,470.03,189.32,327,37
220,Product 220,Home,242.86,139.61,101,34
221,Product 221,Sports,214.13,171.40,292,32
222,Product 222,Home,291.52,117.09,11,35
223,Product 223,Electronics,110.74,58.52,466,48
224,Product 224,Home,340.60,150.31,397,24
225,Product 225,Clothing,196.57,123.38,317,26
226,Product 226,Clothing,289.32,137.16,321,16
227,Product 227,Home,363.21,181.16,403,38
228,Product 228,Clothing,18.53,11.51,46,28
229,Product 229,Clothing,115.55,68.71,67,44
230,Product 230,Books,283.60,175.91,467,27
231,Product 231,Sports,243.70,166.94,495,28
232,Product 232,Electronics,237.04,150.58,239,14
233,Product 233,Sports,79.60,32.45,495,45
234,Product 234,Electronics,168.45,76.33,135,44
235,Product 235,Home,47.03,29.10,299,34
236,Product 236,Electronics,399.60,165.37,345,24
237,Product 237,Books,190.71,96.94,167,49
238,Product 238,Sports,57.25,48.17,465,29
239,Product 239,Electronics,166.26,131.60,484,12
240,Product 240,Electronics,115.17,64.35,120,44
241,Product 241,Books,54.58,31.45,214,47
242,Product 242,Sports,197.11,149.74,335,16
243,Product 243,Home,328.76,167.57,16,33
244,Product 244,Clothing,81.59,47.37,437,33
245,Product 245,Books,50.21,24.37,461,32
246,Product 246,Electronics,24.98,16.81,485,39
247,Product 247,Books,31.96,22.88,497,11
248,Product 248,Clothing,23.29,14.86,402,46
249,Product 249,Books,101.81,45.02,106,47
250,Product 250,Home,109.18,47.11,396,19
251,Product 251,Home,307.15,158.79,439,19
252,Product 252,Clothing,366.75,197.57,56,11
253,Product 253,Clothing,49.17,30.70,301,30
254,Product 254,Clothing,11.89,8.08,379,36
255,Product 255,Sports,230.66,107.59,229,33
256,Product 256,Books,131.63,105.08,113,49
257,Product 257,Books,29.56,13.46,154,39
258,Product 258,Sports,149.19,130.45,433,35
259,Product 259,Sports,110.26,88.12,37,15
260,Product 260,Clothing,88.68,67.81,140,49
261,Product 261,Home,239.91,128.45,195,48
262,Product 262,Books,188.20,108.46,220,16
263,Product 263,Books,201.19,159.65,369,23
264,Product 264,Sports,208.24,88.86,173,39
265,Product 265,Home,175.56,82.75,218,30
266,Product 266,Clothing,218.75,134.70,351,40
267,Product 267,Electronics,40.97,18.09,221,16
268,Product 268,Clothing,243.57,150.19,284,13
269,Product 269,Home,225.14,119.36,343,17
270,Product 270,Sports,197.71,85.11,444,13
271,Product 271,Home,376.16,193.84,53,46
272,Product 272,Sports,136.86,103.95,114,16
273,Product 273,Electronics,137.66,73.27,390,27
274,Product 274,Books,260.81,116.95,498,49
275,Product 275,Electronics,249.27,124.65,311,27
276,Product 276,Home,15.78,10.65,471,31
277,Product 277,Clothing,99.45,73.45,289,35
278,Product 278,Electronics,39.69,18.57,46,43
279,Product 279,Home,79.24,46.95,80,33
280,Product 280,Books,102.21,65.77,305,15
281,Product 281,Books,233.58,177.25,25,15
282,Product 282,Sports,117.67,58.06,310,38
283,Product 283,Books,120.23,85.77,58,32
284,Product 284,Books,132.94,88.83,249,43
285,Product 285,Sports,157.19,135.09,306,13
286,Product 286,Clothing,9.89,6.50,392,18
287,Product 287,Electronics,231.82,154.01,3,41
288,Product 288,Sports,202.79,150.67,272,24
289,Product 289,Home,232.45,102.55,36,35
290,Product 290,Electronics,200.60,173.04,235,14
291,Product 291,Books,329.96,173.11,207,50
292,Product 292,Electronics,109.03,86.45,494,30
293,Product 293,Sports,93.46,38.52,425,33
294,Product 294,Clothing,50.63,22.19,223,47
295,Product 295,Home,100.54,83.09,381,31
296,Product 296,Electronics,105.61,48.21,261,50
297,Product 297,Home,49.40,27.24,179,19
298,Product 298,Clothing,66.65,51.07,88,48
299,Product 299,Electronics,75.29,34.81,90,50
300,Product 300,Books,218.54,101.35,229,46
301,Product 301,Home,323.50,130.38,442,50
302,Product 302,Sports,114.34,66.65,226,50
303,Product 303,Electronics,95.08,64.05,180,42
304,Product 304,Electronics,34.00,19.47,29,33
305,Product 305,Electronics,201.86,167.18,314,48
306,Product 306,Books,181.56,103.88,488,12
307,Product 307,Clothing,207.06,92.70,164,48
308,Product 308,Electronics,128.17,97.75,230,16
309,Product 309,Electronics,370.70,163.14,258,21
310,Product 310,Sports,26.41,12.63,268,43
311,Product 311,Home,199.43,123.91,198,36
312,Product 312,Electronics,319.91,156.02,404,50
313,Product 313,Electronics,156.46,131.22,285,34
314,Product 314,Books,127.66,60.41,447,19
315,Product 315,Clothing,134.12,70.01,469,32
316,Product 316,Sports,132.20,65.50,66,48
317,Product 317,Books,174.53,143.22,192,31
318,Product 318,Books,333.38,163.57,47,37
319,Product 319,Home,117.23,104.16,92,23
320,Product 320,Clothing,155.64,71.64,115,18
321,Product 321,Electronics,53.32,35.21,259,44
322,Product 322,Electronics,392.29,167.85,338,31
323,Product 323,Books,345.68,175.90,192,19
324,Product 324,Books,82.94,36.64,414,20
325,Product 325,Home,169.10,145.63,346,25
326,Product 326,Sports,379.37,194.07,119,44
327,Product 327,Sports,126.61,51.64,462,22
328,Product 328,Sports,186.14,76.73,236,28
329,Product 329,Sports,282.76,156.73,494,20
330,Product 330,Clothing,365.02,164.29,446,26
331,Product 331,Home,26.90,15.18,283,16
332,Product 332,Electronics,261.90,143.72,145,15
333,Product 333,Books,227.93,153.81,75,37
334,Product 334,Sports,54.34,22.88,452,32
335,Product 335,Sports,313.38,186.44,257,33
336,Product 336,Home,127.05,50.98,114,11
337,Product 337,Home,83.17,67.14,405,19
338,Product 338,Sports,47.80,31.83,356,18
339,Product 339,Books,268.74,152.97,2,15
340,Product 340,Clothing,12.20,8.71,280,48
341,Product 341,Home,135.51,107.92,121,29
342,Product 342,Books,41.24,28.76,234,14
343,Product 343,Books,63.01,26.62,274,11
344,Product 344,Clothing,244.29,128.23,149,37
345,Product 345,Books,8.46,5.31,213,21
346,Product 346,Home,164.14,134.55,34,43
347,Product 347,Books,244.52,111.10,283,11
348,Product 348,Sports,142.66,81.14,191,26
349,Product 349,Electronics,241.15,150.73,176,25
350,Product 350,Books,292.82,147.92,376,31
351,Product 351,Home,49.41,31.01,416,21
352,Product 352,Sports,343.62,166.92,323,21
353,Product 353,Sports,193.99,163.24,18,28
354,Product 354,Electronics,97.82,44.31,161,29
355,Product 355,Books,262.14,105.50,242,26
356,Product 356,Home,24.35,12.14,182,13
357,Product 357,Electronics,271.99,173.83,409,33
358,Product 358,Sports,149.74,90.21,458,34
359,Product 359,Sports,96.82,71.11,188,43
360,Product 360,Sports,69.31,57.01,40,37
361,Product 361,Books,275.73,122.48,150,30
362,Product 362,Home,38.99,25.01,156,38
363,Product 363,Sports,207.85,122.51,179,38
364,Product 364,Home,30.74,13.26,314,37
365,Product 365,Electronics,144.71,58.54,38,50
366,Product 366,Clothing,153.12,84.21,487,11
367,Product 367,Sports,64.06,32.84,17,18
368,Product 368,Home,39.66,18.11,185,34
369,Product 369,Clothing,217.78,190.15,347,38
370,Product 370,Electronics,307.99,190.02,293,18
371,Product 371,Home,179.39,108.24,127,17
372,Product 372,Books,13.68,10.05,198,45
373,Product 373,Sports,61.10,27.96,109,49
374,Product 374,Sports,144.62,60.69,102,17
375,Product 375,Clothing,37.88,31.47,460,38
376,Product 376,Home,445.75,199.47,341,32
377,Product 377,Home,268.08,143.36,456,29
378,Product 378,Clothing,358.54,171.02,406,33
379,Product 379,Clothing,132.33,104.21,405,18
380,Product 380,Home,91.67,51.16,283,46
381,Product 381,Books,171.20,76.94,66,49
382,Product 382,Sports,211.50,177.43,367,40
383,Product 383,Books,234.03,107.51,37,18
384,Product 384,Sports,389.09,194.61,238,43
385,Product 385,Books,168.12,72.18,327,47
386,Product 386,Sports,99.30,40.48,257,13
387,Product 387,Home,305.05,167.12,84,20
388,Product 388,Home,142.16,67.92,485,43
389,Product 389,Home,410.06,179.51,100,50
390,Product 390,Home,284.21,191.49,314,44
391,Product 391,Books,46.38,23.22,482,47
392,Product 392,Books,70.92,35.07,172,46
393,Product 393,Electronics,30.10,13.03,23,46
394,Product 394,Books,78.98,56.61,213,49
395,Product 395,Books,232.93,129.60,148,29
396,Product 396,Sports,220.82,99.17,152,39
397,Product 397,Sports,22.77,19.23,212,40
398,Product 398,Clothing,150.64,95.57,160,30
399,Product 399,Sports,341.54,148.17,66,33
400,Product 400,Clothing,131.63,105.42,238,17
401,Product 401,Electronics,82.71,57.16,25,28
402,Product 402,Sports,437.37,189.35,127,20
403,Product 403,Home,393.89,163.63,97,20
404,Product 404,Sports,186.00,102.16,450,29
405,Product 405,Sports,125.04,101.99,258,39
406,Product 406,Home,271.14,193.50,24,13
407,Product 407,Sports,115.93,59.86,146,44
408,Product 408,Clothing,8.25,6.59,451,26
409,Product 409,Home,318.61,146.86,23,35
410,Product 410,Home,28.25,14.98,283,28
411,Product 411,Books,34.92,19.34,143,49
412,Product 412,Electronics,174.35,137.68,201,33
413,Product 413,Home,251.96,160.00,386,19
414,Product 414,Books,79.43,43.82,20,12
415,Product 415,Sports,26.42,12.59,265,39
416,Product 416,Clothing,80.02,34.04,167,49
417,Product 417,Books,110.75,67.11,378,29
418,Product 418,Books,218.63,120.78,272,41
419,Product 419,Electronics,217.63,143.20,188,31
420,Product 420,Books,337.14,136.39,157,50
421,Product 421,Books,17.99,10.20,295,24
422,Product 422,Clothing,279.25,145.67,268,50
423,Product 423,Sports,318.12,145.63,75,25
424,Product 424,Electronics,27.08,11.16,97,11
425,Product 425,Sports,153.46,91.00,353,23
426,Product 426,Sports,185.77,85.02,446,13
427,Product 427,Books,260.46,142.63,166,40
428,Product 428,Clothing,165.42,107.47,235,44
429,Product 429,Home,114.52,71.75,312,40
430,Product 430,Books,61.41,42.49,152,24
431,Product 431,Home,466.79,188.59,360,23
432,Product 432,Sports,249.13,139.60,178,45
433,Product 433,Home,414.10,187.07,147,17
434,Product 434,Sports,217.35,116.83,419,32
435,Product 435,Home,425.59,191.15,21,28
436,Product 436,Sports,231.58,191.29,335,26
437,Product 437,Books,210.96,150.73,138,45
438,Product 438,Books,181.88,140.75,379,47
439,Product 439,Books,60.50,51.66,115,50
440,Product 440,Home,62.51,50.40,367,40
441,Product 441,Electronics,53.62,24.61,493,45
442,Product 442,Sports,258.53,195.69,244,22
443,Product 443,Home,228.93,152.40,330,13
444,Product 444,Books,223.05,182.05,118,44
445,Product 445,Electronics,341.38,149.04,467,21
446,Product 446,Electronics,196.56,86.49,428,35
447,Product 447,Home,215.90,158.65,448,12
448,Product 448,Electronics,12.90,6.81,475,31
449,Product 449,Books,150.30,60.49,268,41
450,Product 450,Books,229.77,178.41,239,27
451,Product 451,Clothing,53.58,42.60,374,39
452,Product 452,Electronics,276.77,131.42,377,31
453,Product 453,Clothing,301.67,159.20,89,49
454,Product 454,Sports,405.09,171.95,263,30
455,Product 455,Clothing,44.64,21.91,71,40
456,Product 456,Home,98.56,68.10,196,25
457,Product 457,Home,135.76,92.11,154,47
458,Product 458,Home,162.90,145.96,354,25
459,Product 459,Home,21.66,17.11,81,35
460,Product 460,Home,332.02,138.78,353,17
461,Product 461,Home,313.10,129.55,314,24
462,Product 462,Clothing,61.43,47.73,232,48
463,Product 463,Sports,162.15,77.86,387,44
464,Product 464,Clothing,364.07,161.39,348,48
465,Product 465,Sports,212.88,175.26,270,33
466,Product 466,Electronics,38.23,20.23,424,45
467,Product 467,Books,250.41,181.06,76,20
468,Product 468,Electronics,126.13,68.98,348,23
469,Product 469,Books,258.37,144.80,228,13
470,Product 470,Sports,169.89,93.42,288,13
471,Product 471,Home,232.70,113.97,370,11
472,Product 472,Clothing,184.40,82.21,296,14
473,Product 473,Electronics,21.89,13.83,277,13
474,Product 474,Sports,224.06,187.24,16,28
475,Product 475,Sports,184.42,84.73,191,34
476,Product 476,Sports,220.43,92.46,192,15
477,Product 477,Books,279.93,138.13,68,32
478,Product 478,Sports,70.05,28.13,270,18
479,Product 479,Electronics,207.43,146.93,387,11
480,Product 480,Books,342.31,195.81,217,44
481,Product 481,Sports,112.24,78.96,177,19
482,Product 482,Electronics,141.73,58.75,16,36
483,Product 483,Electronics,301.12,124.91,123,23
484,Product 484,Sports,35.00,18.12,306,13
485,Product 485,Sports,61.26,52.72,119,44
486,Product 486,Electronics,109.38,47.37,71,42
487,Product 487,Books,283.75,198.73,163,46
488,Product 488,Home,248.24,121.59,121,29
489,Product 489,Books,436.15,175.87,113,36
490,Product 490,Books,75.38,63.60,450,21
491,Product 491,Sports,215.77,127.07,24,32
492,Product 492,Books,384.74,188.61,163,36
493,Product 493,Clothing,128.59,84.61,386,44
494,Product 494,Home,222.81,97.34,439,19
495,Product 495,Books,385.96,162.13,211,36
496,Product 496,Clothing,146.38,113.67,130,23
497,Product 497,Sports,84.02,69.40,433,33
498,Product 498,Clothing,48.70,23.03,26,27
499,Product 499,Electronics,152.93,78.55,447,14
500,Product 500,Books,90.32,41.69,111,40
